,1. Amount of randomly selected training data,2.Training Accuracy(in %),3.Test Accuracy(in %)
0,10%,66.07142857142857,62.37816764132554
1,20%,59.292035398230084,63.59649122807017
2,30%,57.64705882352941,64.91228070175438
3,40%,60.79295154185022,64.03508771929825
4,50%,59.859154929577464,65.61403508771929
5,60%,61.29032258064516,64.91228070175438
