,Amount_of_training_data,Training Accuracy,Test Accuracy
0,10%,80.0,70.22222222222223
1,20%,71.66666666666667,72.25000000000001
2,30%,67.55555555555556,70.28571428571428
3,40%,72.33333333333334,70.66666666666667
4,50%,75.2,72.26666666666668
5,60%,69.77777777777777,73.33333333333334
